BID_AMOUNT=81;BIDDER_ID=49
BID_AMOUNT=30;BIDDER_ID=99
BID_AMOUNT=67;BIDDER_ID=87
BID_AMOUNT=62;BIDDER_ID=23
BID_AMOUNT=8;BIDDER_ID=1
BID_AMOUNT=96;BIDDER_ID=9
BID_AMOUNT=40;BIDDER_ID=45
BID_AMOUNT=77;BIDDER_ID=1
BID_AMOUNT=34;BIDDER_ID=0
BID_AMOUNT=24;BIDDER_ID=58
BID_AMOUNT=99;BIDDER_ID=45
BID_AMOUNT=18;BIDDER_ID=32
BID_AMOUNT=46;BIDDER_ID=71
BID_AMOUNT=69;BIDDER_ID=80
BID_AMOUNT=9;BIDDER_ID=17
BID_AMOUNT=85;BIDDER_ID=14
BID_AMOUNT=27;BIDDER_ID=67
BID_AMOUNT=32;BIDDER_ID=20
BID_AMOUNT=18;BIDDER_ID=74
BID_AMOUNT=79;BIDDER_ID=10
BID_AMOUNT=55;BIDDER_ID=45
BID_AMOUNT=66;BIDDER_ID=46
BID_AMOUNT=21;BIDDER_ID=91
BID_AMOUNT=35;BIDDER_ID=52
BID_AMOUNT=42;BIDDER_ID=4
BID_AMOUNT=61;BIDDER_ID=44
BID_AMOUNT=54;BIDDER_ID=67
BID_AMOUNT=0;BIDDER_ID=21
BID_AMOUNT=74;BIDDER_ID=11
BID_AMOUNT=93;BIDDER_ID=98
BID_AMOUNT=36;BIDDER_ID=90
BID_AMOUNT=95;BIDDER_ID=80
BID_AMOUNT=19;BIDDER_ID=0
BID_AMOUNT=40;BIDDER_ID=55
BID_AMOUNT=5;BIDDER_ID=20
BID_AMOUNT=91;BIDDER_ID=98
BID_AMOUNT=57;BIDDER_ID=97
BID_AMOUNT=4;BIDDER_ID=54
BID_AMOUNT=58;BIDDER_ID=32
BID_AMOUNT=15;BIDDER_ID=47
BID_AMOUNT=98;BIDDER_ID=69
BID_AMOUNT=77;BIDDER_ID=89
BID_AMOUNT=34;BIDDER_ID=58
BID_AMOUNT=76;BIDDER_ID=50
BID_AMOUNT=95;BIDDER_ID=79
BID_AMOUNT=5;BIDDER_ID=5
BID_AMOUNT=22;BIDDER_ID=61
BID_AMOUNT=61;BIDDER_ID=84
BID_AMOUNT=7;BIDDER_ID=10
BID_AMOUNT=13;BIDDER_ID=23
BID_AMOUNT=11;BIDDER_ID=41
BID_AMOUNT=23;BIDDER_ID=52
BID_AMOUNT=89;BIDDER_ID=79
BID_AMOUNT=31;BIDDER_ID=72
BID_AMOUNT=57;BIDDER_ID=1
BID_AMOUNT=71;BIDDER_ID=80
BID_AMOUNT=61;BIDDER_ID=46
BID_AMOUNT=76;BIDDER_ID=13
BID_AMOUNT=96;BIDDER_ID=70
BID_AMOUNT=53;BIDDER_ID=50
BID_AMOUNT=75;BIDDER_ID=97
BID_AMOUNT=5;BIDDER_ID=87
BID_AMOUNT=42;BIDDER_ID=89
BID_AMOUNT=37;BIDDER_ID=67
BID_AMOUNT=53;BIDDER_ID=2
BID_AMOUNT=56;BIDDER_ID=92
BID_AMOUNT=49;BIDDER_ID=4
BID_AMOUNT=96;BIDDER_ID=40
BID_AMOUNT=27;BIDDER_ID=5
BID_AMOUNT=54;BIDDER_ID=4
BID_AMOUNT=64;BIDDER_ID=58
BID_AMOUNT=68;BIDDER_ID=95
BID_AMOUNT=86;BIDDER_ID=39
BID_AMOUNT=51;BIDDER_ID=20
BID_AMOUNT=83;BIDDER_ID=22
BID_AMOUNT=69;BIDDER_ID=50
BID_AMOUNT=28;BIDDER_ID=35
BID_AMOUNT=94;BIDDER_ID=78
BID_AMOUNT=17;BIDDER_ID=51
BID_AMOUNT=84;BIDDER_ID=56
BID_AMOUNT=80;BIDDER_ID=13
BID_AMOUNT=96;BIDDER_ID=83
BID_AMOUNT=35;BIDDER_ID=30
BID_AMOUNT=64;BIDDER_ID=97
BID_AMOUNT=88;BIDDER_ID=13
BID_AMOUNT=18;BIDDER_ID=2
BID_AMOUNT=92;BIDDER_ID=94
BID_AMOUNT=31;BIDDER_ID=90
BID_AMOUNT=67;BIDDER_ID=48
BID_AMOUNT=29;BIDDER_ID=35
BID_AMOUNT=20;BIDDER_ID=98
BID_AMOUNT=50;BIDDER_ID=46
BID_AMOUNT=69;BIDDER_ID=95
BID_AMOUNT=23;BIDDER_ID=13
BID_AMOUNT=51;BIDDER_ID=10
BID_AMOUNT=90;BIDDER_ID=18
BID_AMOUNT=8;BIDDER_ID=13
BID_AMOUNT=97;BIDDER_ID=15
BID_AMOUNT=96;BIDDER_ID=82
BID_AMOUNT=20;BIDDER_ID=80
BID_AMOUNT=78;BIDDER_ID=17
